title,release_date,revenue,director,CharactersCount,DirectorPop,IsAnimation,ActorsAvg,_is_G,_is_Not Rated,_is_PG,_is_PG-13,_is_R,_is_Action,_is_Adventure,_is_Black Comedy,_is_Comedy,_is_Concert/Performance,_is_Documentary,_is_Drama,_is_Horror,_is_Musical,_is_Romantic Comedy,_is_Thriller/Suspense,_is_Western
Recess: School's Out,2001.126027,54656124,Chuck Sheetz,12.342105263157896,1.62,0,6.778963749000002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D2: The Mighty Ducks,1994.232877,94226333,Sam Weisman,12.342105263157896,1.579,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Home on the Range,2004.252055,67910166,Will Finn,16.0,2.32,1,7.8548125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Young Black Stallion,2003.972603,9254344,Simon Wincer,12.342105263157896,4.736,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What's Love Got to Do With It,1993.435616,79618610,Brian Gibson,12.342105263157896,1.084,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Lady and the Tramp,1955.471233,1236035515,Hamilton Luske,11.0,3.134,1,2.799454545,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Corky Romano,2001.772603,35705805,Rob Pritts,12.342105263157896,1.38,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Waterboy,1998.838356,288691833,Frank Coraci,12.342105263157896,7.036,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,2014.257534,268013076,Anthony Russo Joe Russo,12.342105263157896,4.5799825327510915,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead ManÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂ¦,2006.512329,544817142,Gore Verbinski,12.342105263157896,5.365,0,6.778963749000002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ladder 49,2004.742466,101161045,Jay Russell,12.342105263157896,3.066,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Coyote Ugly,2000.586301,95070168,David McNally,12.342105263157896,1.4,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Sixth Man,1997.241096,27117599,Randall Miller,12.342105263157896,2.24,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Dick Tracy,1990.452055,207231621,Warren Beatty,12.342105263157896,5.024,0,6.778963749000002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sister Act 2 Back in the Habit,1993.931507,116965668,Bill Duke,12.342105263157896,9.093,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DuckTales: The Movie - Treasure of thÃÂ¢ÃÂÃÂ¦,1990.583562,36107823,Bob Hathcock,12.342105263157896,1.4,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blame it on the Bellboy,1992.180822,5872667,Mark Herman,12.342105263157896,1.4,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Hunchback of Notre Dame,1996.468493,190988799,Gary Trousdale,11.0,4.509,1,6.384636364,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ernest Goes to Jail,1990.263014,49999822,John R. Cherry III,12.342105263157896,1.48,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ant-Man,2015.539726,180202163,Peyton Reed,12.342105263157896,6.786,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Shaggy Dog,2006.191781,78667428,Brian Robbins,12.342105263157896,4.799,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Life Aquatic with Steve Zissou,2004.931507,32198655,Wes Anderson,12.342105263157896,8.573,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
