,character,voice-actor,movie_title,ActorPop
0,Spot,Tara Strong,101 Dalmatians: The Series,14.092
1,Cadpig,Kath Soucie,101 Dalmatians: The Series,6.516
2,Powerline,Tevin Campbell,A Goofy Movie,0.6
3,Principal Mazur,Wallace Shawn,A Goofy Movie,11.178
4,Roxanne,Kellie Martin,A Goofy Movie,5.875
5,"Robert ""Bobby"" Zimmeruski",Pauly Shore,A Goofy Movie,4.477
6,The Sultan,Douglas Seale,Aladdin,1.948
7,Princess Jasmine,Linda Larkin; Lea Salonga,Aladdin,4.729
8,Genie,Robin Williams,Aladdin,9.202
9,Mechanicles,Charlie Adler,Aladdin,2.72
10,Rajah,Frank Welker,Aladdin,13.151
11,Iago,Gilbert Gottfried,Aladdin,11.197
12,Razoul,Jim Cummings,Aladdin,7.113
13,Abu,Frank Welker,Aladdin,13.151
14,Jafar,Jonathan Freeman,Aladdin,1.95
15,Haroud Hazi Bin,James Avery,Aladdin,5.601
16,Magic Carpet,None,Aladdin,0.6
17,Mozenrath,Jonathan Brandis,Aladdin,22.411
18,Aladdin,Scott Weinger; Brad Kane,Aladdin,4.348
19,Sadira,Kellie Martin,Aladdin,5.875
20,Xerxes,Frank Welker,Aladdin (TV series),13.151
21,Mirage,Bebe Neuwirth,Aladdin (TV series),6.643
22,Cassim,John Rhys-Davies,Aladdin and the King of Thieves,12.18
23,Sa'luk,Jerry Orbach,Aladdin and the King of Thieves,6.406
24,Nasira,Jodi Benson,Aladdin in Nasira's Revenge,5.223
25,Pete,Billy Bletcher; Jim Cummings,Alice Solves the Puzzle,4.3795
26,Dinah the Cat,None,Alice in Wonderland,0.6
27,The King of Hearts,Dink Trout,Alice in Wonderland,0.84
28,Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland,4.057
29,The Dodo,Bill Thompson,Alice in Wonderland,2.009
30,The Doorknob,Joseph Kearns,Alice in Wonderland,5.168
31,The Carpenter,J. Pat O'Malley,Alice in Wonderland,4.057
32,The Caterpillar,Richard Haydn,Alice in Wonderland,3.451
33,The Rose,Doris Lloyd,Alice in Wonderland,4.744
34,Cheshire Cat,Sterling Holloway,Alice in Wonderland,6.789
35,The Dormouse,Jimmy MacDonald,Alice in Wonderland,0.6
36,The Queen of Hearts,Verna Felton,Alice in Wonderland,3.039
37,The Walrus,J. Pat O'Malley,Alice in Wonderland,4.057
38,Bill the Lizard,Larry Grey,Alice in Wonderland,0.98
