movie_title,release_date,MovieSuccessLevel,director,director_pop,ActorsAvg,_is_G,_is_Not Rated,_is_PG,_is_PG-13,_is_R,_is_Action,_is_Adventure,_is_Black Comedy,_is_Comedy,_is_Concert/Performance,_is_Documentary,_is_Drama,_is_Horror,_is_Musical,_is_Romantic Comedy,_is_Thriller/Suspense,_is_Western,IsAnimation
Recess: School's Out,2001.126027,C,Chuck Sheetz,0.98,5.509169281,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D2: The Mighty Ducks,1994.232877,B,Sam Weisman,1.52,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Home on the Range,2004.252055,C,Will Finn,0.635,8.2235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Young Black Stallion,2003.972603,D,Simon Wincer,6.723,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
What's Love Got to Do With It,1993.435616,B,Brian Gibson,0.6,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Lady and the Tramp,1955.471233,S,Hamilton Luske,3.314126411,1.507272727,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Corky Romano,2001.772603,C,Rob Pritts,0.6,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Waterboy,1998.838356,A,Frank Coraci,3.888,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,2014.257534,A,Anthony Russo,2.693,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead ManÃ¢ÂÂÃ¢ÂÂ¦,2006.512329,S,Gore Verbinski,4.843,5.509169281,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladder 49,2004.742466,B,Jay Russell,0.667,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coyote Ugly,2000.586301,B,David McNally,0.6,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Sixth Man,1997.241096,C,Randall Miller,0.84,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dick Tracy,1990.452055,A,Warren Beatty,5.574,5.509169281,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sister Act 2 Back in the Habit,1993.931507,B,Bill Duke,6.304,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DuckTales: The Movie - Treasure of thÃ¢ÂÂ¦,1990.583562,C,,3.314126411,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blame it on the Bellboy,1992.180822,D,Mark Herman,0.961,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Hunchback of Notre Dame,1996.468493,B,Gary Trousdale,3.308,5.404181818,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Ernest Goes to Jail,1990.263014,C,John R. Cherry III,1.676,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ant-Man,2015.539726,B,Peyton Reed,1.928,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Shaggy Dog,2006.191781,B,Brian Robbins,1.338,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Life Aquatic with Steve Zissou,2004.931507,C,Wes Anderson,8.151,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bridge to Terabithia,2007.126027,B,GÃÂ¡bor CsupÃÂ³,1.191,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Beauty and the Beast,1991.857534,A,Gary Trousdale,3.314126411,5.509169281,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Miami Rhapsody,1995.073973,D,David Frankel,0.785,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Bug's Life,1998.876712,A,John Lasseter,4.693,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3 Men and a Little Lady,1990.879452,B,Emile Ardolino,4.922,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Puppet Masters,1994.79726,D,Stuart Orme,0.6,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Signs,2002.580822,A,M. Night Shyamalan,8.849,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dead Presidents,1995.750685,C,Albert Hughes,3.681,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"McFarland, USA",2015.136986,C,Niki Caro,1.835,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
George Of The Jungle,1997.536986,B,Sam Weisman,1.52,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bound by Honor,1993.290411,D,Taylor Hackford,2.461,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers,2012.339726,S,Joss Whedon,5.923,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ten Things I Hate About You,1999.249315,C,Gil Junger,3.76,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Earth,2009.306849,C,Kevin Nolting,0.828,5.509169281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hello Again,1987.838356,C,Frank Perry,0.6,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
When a Man Loves a Woman,1994.326027,B,Luis Mandoki,0.84,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Unbreakable,2000.882192,B,M. Night Shyamalan,8.849,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3 Men and a Baby,1987.890411,A,Leonard Nimoy,6.062,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
X Games 3D: The Movie,2009.632877,D,Steven Lawrence,0.6,5.509169281,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cars 2,2011.476712,A,John Lasseter,4.693,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Princess Diaries 2: Royal Engagement,2004.605479,B,Gidion Phillips,0.6,5.509169281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Jungle Book 2,2003.120548,C,Steve Trenbirth,0.6,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aspen Extreme,1993.060274,D,Patrick Hasburgh,1.4,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Noises Off...,1992.219178,D,Peter Bogdanovich,5.723,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
He Got Game,1998.331507,C,Spike Lee,5.116,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bringing Down the House,2003.183562,B,Adam Shankman,2.069,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bon Voyage!,1962.375342,B,Jean-Paul Rappeneau,0.84,5.509169281,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Doctor Strange,2016.832877,A,Scott Derrickson,3.253,5.509169281,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flubber,1997.893151,B,Les Mayfield,2.115,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roving Mars,2006.073973,D,George Butler,0.917,5.509169281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Captain Ron,1992.706849,C,Thom Eberhardt,1.296,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shadow Conspiracy,1997.084932,D,George P. Cosmatos,2.841,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Good Morning Vietnam,1987.967123,A,Barry Levinson,4.33,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Babes in Toyland,1961.942466,B,Charley Rogers,1.62,5.509169281,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
An Innocent Man,1989.756164,C,Peter Yates,1.185,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Summer of Sam,1999.49863,C,Spike Lee,5.116,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Good Dinosaur,2015.890411,B,Peter Sohn,3.161,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angels in the Outfield,1994.534247,B,William Dear,1.535,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tough Guys,1986.747945,C,Jeff Kanew,2.131,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Something Wicked This Way Comes,1983.326027,D,Jack Clayton,1.176,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Rocketeer,1991.468493,B,Joe Johnston,5.45,5.509169281,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stakeout,1987.589041,B,John Badham,2.835,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
National Treasure 2: Book of Secrets,2007.961644,A,Jon Turteltaub,3.603,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Terminal Velocity,1994.720548,C,Deran Sarafian,2.799,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apocalypto,2006.926027,C,Mel Gibson,27.288,5.509169281,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Invincible,2006.643836,B,Ericson Core,1.565,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25th Hour,2002.956164,D,Spike Lee,5.116,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
