name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Recess: School's Out,2001.1260273972605,54656124.0,0.814,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16,1,10000000.0,82.0
D2: The Mighty Ducks,1994.2328767123288,94226333.0,1.048,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,25,1,0.0,106.0
Home on the Range,2004.2520547945203,67910166.0,1.975,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,110000000.0,76.0
Young Black Stallion,2003.972602739726,9254344.0,4.61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,0.0,49.0
What's Love Got to Do With It,1993.435616438356,79618610.0,0.946,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,2,15000000.0,118.0
Lady and the Tramp,1955.4712328767123,1236035515.0,3.353,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,22,2,4000000.0,76.0
Corky Romano,2001.772602739726,35705805.0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,12,4,11000000.0,86.0
The Waterboy,1998.838356164384,288691833.0,3.525,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,23000000.0,90.0
Captain America: The Winter Soldier,2014.2575342465752,268013076.0,5.668,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,170000000.0,136.0
Pirates of the Caribbean: Dead Man’…,2006.5123287671236,544817142.0,5.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,200000000.0,151.0
Ladder 49,2004.7424657534248,101161045.0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,4,60000000.0,115.0
Coyote Ugly,2000.5863013698631,95070168.0,1.22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,45000000.0,100.0
The Sixth Man,1997.2410958904109,27117599.0,1.863,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,28,1,0.0,107.0
Dick Tracy,1990.4520547945208,207231621.0,10.721,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,2,47000000.0,105.0
Sister Act 2 Back in the Habit,1993.9315068493152,116965668.0,15.218,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,38000000.0,107.0
DuckTales: The Movie - Treasure of th…,1990.5835616438355,36107823.0,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,,
Blame it on the Bellboy,1992.1808219178083,5872667.0,1.459,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0.0,78.0
The Hunchback of Notre Dame,1996.468493150685,190988799.0,1.646,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,100000000.0,91.0
Ernest Goes to Jail,1990.2630136986304,49999822.0,1.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,0.0,81.0
Ant-Man,2015.5397260273971,180202163.0,3.539,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,3,130000000.0,117.0
The Shaggy Dog,2006.1917808219175,78667428.0,1.199,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,50000000.0,98.0
The Life Aquatic with Steve Zissou,2004.9315068493152,32198655.0,8.961,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,50000000.0,119.0
Bridge to Terabithia,2007.1260273972605,100760721.0,4.417,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,1,60000000.0,96.0
Beauty and the Beast,1991.8575342465756,363017667.0,1.646,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,13,4,25000000.0,84.0
Miami Rhapsody,1995.07397260274,9857435.0,1.853,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,1,0.0,95.0
A Bug's Life,1998.876712328767,288981698.0,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,20,4,120000000.0,95.0
3 Men and a Little Lady,1990.8794520547945,143108869.0,3.205,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,21,4,0.0,104.0
The Puppet Masters,1994.7972602739728,17727017.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,21,4,0.0,109.0
Signs,2002.580821917808,330754439.0,16.355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,3,72000000.0,106.0
Dead Presidents,1995.7506849315068,46741467.0,2.566,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,4,4,10000000.0,119.0
"McFarland, USA",2015.13698630137,44480275.0,1.449,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,1,0.0,128.0
George Of The Jungle,1997.5369863013696,193326632.0,1.114,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,3,55000000.0,93.0
Bound by Honor,1993.290410958904,9156084.0,4.51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,16,2,35000000.0,190.0
The Avengers,2012.339726027397,660081224.0,5.449,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,2,220000000.0,143.0
Ten Things I Hate About You,1999.2493150684927,63354375.0,4.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,31,1,16000000.0,97.0
Earth,2009.3068493150688,35981010.0,0.98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0,40.0
Hello Again,1987.838356164384,44024529.0,1.624,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0,96.0
When a Man Loves a Woman,1994.3260273972603,103354194.0,0.813,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,29,2,0.0,126.0
Unbreakable,2000.8821917808216,148208901.0,14.507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,4,75000000.0,106.0
3 Men and a Baby,1987.890410958904,353334607.0,8.248,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,11000000.0,102.0
X Games 3D: The Movie,2009.6328767123289,1563976.0,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,21,3,0.0,92.0
Cars 2,2011.4767123287672,203522177.0,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,2,200000000.0,106.0
The Princess Diaries 2: Royal Engagement,2004.6054794520549,129164207.0,3.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,11,3,40000000.0,113.0
The Jungle Book 2,2003.120547945205,66966883.0,0.711,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,20000000.0,72.0
Aspen Extreme,1993.0602739726028,15970955.0,0.936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,1,0.0,113.0
Noises Off...,1992.219178082192,4631720.0,3.753,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,1,12000000.0,101.0
He Got Game,1998.331506849315,38766948.0,7.239,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,25000000.0,136.0
Bringing Down the House,2003.183561643836,185481530.0,4.369,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,20000000.0,105.0
