name,release_date,MovieSuccessLevel,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,is_animation
Recess: School's Out,2001.1260273972603,C,0.694,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16,1,0.0
D2: The Mighty Ducks,1994.2328767123288,B,1.822,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,25,1,0.0
Home on the Range,2004.2520547945205,C,2.787,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,1.0
Young Black Stallion,2003.972602739726,D,4.423,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,0.0
What's Love Got to Do With It,1993.4356164383562,B,0.636,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,2,0.0
Lady and the Tramp,1955.4712328767123,S,3.011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,22,2,1.0
Corky Romano,2001.772602739726,C,0.98,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,12,4,0.0
The Waterboy,1998.8383561643836,A,3.513,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0
Captain America: The Winter Soldier,2014.2575342465752,A,9.566,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0
Pirates of the Caribbean: Dead Man’…,2006.5123287671233,S,6.319,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,0.0
Ladder 49,2004.7424657534248,B,1.145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0.0
Coyote Ugly,2000.5863013698631,B,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,0.0
The Sixth Man,1997.2410958904109,C,3.336,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,28,1,0.0
Dick Tracy,1990.4520547945206,A,12.374,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,2,0.0
Sister Act 2 Back in the Habit,1993.9315068493152,B,15.136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,0.0
DuckTales: The Movie - Treasure of th…,1990.5835616438355,C,3.237,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,0.0
Blame it on the Bellboy,1992.1808219178083,D,2.096,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0.0
The Hunchback of Notre Dame,1996.468493150685,B,2.157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,1.0
Ernest Goes to Jail,1990.2630136986302,C,1.887,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,0.0
Ant-Man,2015.5397260273974,B,8.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,3,0.0
The Shaggy Dog,2006.1917808219177,B,3.525,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,0.0
The Life Aquatic with Steve Zissou,2004.9315068493152,C,10.476,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,0.0
Bridge to Terabithia,2007.1260273972603,B,3.926,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,1,0.0
Beauty and the Beast,1991.8575342465754,A,2.157,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,13,4,1.0
Miami Rhapsody,1995.0739726027398,D,3.38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,1,0.0
A Bug's Life,1998.876712328767,A,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,20,4,0.0
3 Men and a Little Lady,1990.8794520547945,B,2.849,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,21,4,0.0
The Puppet Masters,1994.7972602739726,D,0.613,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,21,4,0.0
Signs,2002.5808219178082,A,13.806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,3,0.0
Dead Presidents,1995.7506849315068,C,5.205,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,4,4,0.0
"McFarland, USA",2015.13698630137,C,3.195,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,1,0.0
George Of The Jungle,1997.5369863013698,B,1.822,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,3,0.0
Bound by Honor,1993.2904109589042,D,6.076,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,16,2,0.0
The Avengers,2012.3397260273973,S,9.807,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0.0
Ten Things I Hate About You,1999.2493150684932,C,4.225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,31,1,0.0
Earth,2009.3068493150686,C,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0
Hello Again,1987.8383561643836,C,1.052,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0
When a Man Loves a Woman,1994.3260273972603,B,0.69,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,29,2,0.0
Unbreakable,2000.8821917808218,B,13.806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,4,0.0
3 Men and a Baby,1987.890410958904,A,9.372,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,0.0
X Games 3D: The Movie,2009.6328767123289,D,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,21,3,0.0
Cars 2,2011.4767123287672,A,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,2,0.0
The Princess Diaries 2: Royal Engagement,2004.6054794520549,B,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,11,3,0.0
The Jungle Book 2,2003.1205479452055,C,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,0.0
Aspen Extreme,1993.0602739726028,D,0.758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,1,0.0
Noises Off...,1992.2191780821918,D,5.579,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,1,0.0
He Got Game,1998.331506849315,C,5.728,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,0.0
Bringing Down the House,2003.1835616438357,B,5.991,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,0.0
Bon Voyage!,1962.3753424657534,B,1.102,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,17,2,0.0
