character,voice-actor,movie,ActorPop
Spot,Tara Strong,101 Dalmatians: The Series,14.56
Cadpig,Kath Soucie,101 Dalmatians: The Series,9.964
Powerline,Tevin Campbell,A Goofy Movie,0.84
Principal Mazur,Wallace Shawn,A Goofy Movie,18.969
Roxanne,Kellie Martin,A Goofy Movie,8.786
"Robert ""Bobby"" Zimmeruski",Pauly Shore,A Goofy Movie,7.609
The Sultan,Douglas Seale,Aladdin,2.927
Princess Jasmine,Linda Larkin; Lea Salonga,Aladdin,5.002
Genie,Robin Williams,Aladdin,15.764
Mechanicles,Charlie Adler,Aladdin,5.083
Rajah,Frank Welker,Aladdin,17.456
Iago,Gilbert Gottfried,Aladdin,18.521
Razoul,Jim Cummings,Aladdin,10.483
Abu,Frank Welker,Aladdin,17.456
Jafar,Jonathan Freeman,Aladdin,2.83
Haroud Hazi Bin,James Avery,Aladdin,6.202
Magic Carpet,None,Aladdin,0.6
Mozenrath,Jonathan Brandis,Aladdin,11.373
Aladdin,Scott Weinger; Brad Kane,Aladdin,5.4275
Sadira,Kellie Martin,Aladdin,8.786
Xerxes,Frank Welker,Aladdin (TV series),17.456
Mirage,Bebe Neuwirth,Aladdin (TV series),9.994
Cassim,John Rhys-Davies,Aladdin and the King of Thieves,16.897
Sa'luk,Jerry Orbach,Aladdin and the King of Thieves,14.398
Nasira,Jodi Benson,Aladdin in Nasira's Revenge,3.306
Pete,Billy Bletcher; Jim Cummings,Alice Solves the Puzzle,7.1675
Dinah the Cat,None,Alice in Wonderland,0.6
The King of Hearts,Dink Trout,Alice in Wonderland,1.205
Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland,7.005
The Dodo,Bill Thompson,Alice in Wonderland,3.863
The Doorknob,Joseph Kearns,Alice in Wonderland,4.218
The Carpenter,J. Pat O'Malley,Alice in Wonderland,7.005
The Caterpillar,Richard Haydn,Alice in Wonderland,5.659
The Rose,Doris Lloyd,Alice in Wonderland,4.077
Cheshire Cat,Sterling Holloway,Alice in Wonderland,9.849
The Dormouse,Jimmy MacDonald,Alice in Wonderland,0.6
The Queen of Hearts,Verna Felton,Alice in Wonderland,4.071
The Walrus,J. Pat O'Malley,Alice in Wonderland,7.005
Bill the Lizard,Larry Grey,Alice in Wonderland,0.98
Alice's Sister,Heather Angel,Alice in Wonderland,3.582
Mad Hatter,Ed Wynn,Alice in Wonderland,7.336
White Rabbit,Bill Thompson,Alice in Wonderland,3.863
Alice,Kathryn Beaumont,Alice in Wonderland,3.278
March Hare,Jerry Colonna,Alice in Wonderland,3.048
Ludwig Von Drake,Paul Frees,An Adventure in Color,7.582
Sylvia Marpole,Bebe Neuwirth,An Extremely Goofy Movie,9.994
Tank,Brad Garrett,An Extremely Goofy Movie,8.878
Bradley Uppercrust III,Jeff Bennett,An Extremely Goofy Movie,8.547
Beret Girl,Vicki Lewis,An Extremely Goofy Movie,6.51
Preston B. Whitmore,John Mahoney,Atlantis: The Lost Empire,7.729
Milo Thatch,Michael J. Fox,Atlantis: The Lost Empire,7.973
Fenton Q. Harcourt,David Ogden Stiers,Atlantis: The Lost Empire,8.746
"Vincenzo ""Vinny"" Santorini",Don Novello,Atlantis: The Lost Empire,4.21
Helga Sinclair,Claudia Christian,Atlantis: The Lost Empire,11.239
Princess Kidagakash,Cree Summer,Atlantis: The Lost Empire,7.28
Dr. Joshua Sweet,Phil Morris,Atlantis: The Lost Empire,6.789
King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire,10.142
Wilhelmina Packard,Florence Stanley,Atlantis: The Lost Empire,2.156
Audrey Ramirez,Jacqueline Obradors,Atlantis: The Lost Empire,17.1
Commander Lyle Rourke,James Garner,Atlantis: The Lost Empire,9.839
Cookie,Jim Varney,Atlantis: The Lost Empire,6.175
"Gaetan ""Mole"" Moliére",Corey Burton,Atlantis: The Lost Empire,9.168
Flower,Stan Alexander; Sterling Holloway,Bambi,5.5065
Thumper,Peter Behn; Sam Edwards,Bambi,1.7965
Thumper's Mother,Margaret Lee,Bambi,4.911
Faline,Cammie King; Ann Gillis,Bambi,2.748
Mrs. Quail,Thelma Boardman,Bambi,1.594
Bambi's Mother,Paula Winslowe; Carolyn Hennesy,Bambi,6.6215
Bambi,Hardie Albright,Bambi,5.715
Bambi,Donnie Dunagan,Bambi,2.803
Man the Hunter,None,Bambi,0.6
Great Prince of the Forest,Fred Shields,Bambi,0.6
Friend Owl,Will Wright,Bambi,3.206
Bambi,Alexander Gould,Bambi,8.274
Mrs. Possum,Mary Lansing,Bambi,1.566
Ronno,Anthony Ghannam,Bambi II,0.706
Mena,Cree Summer,Bambi II,7.28
The Groundhog,Brian Pimental,Bambi II,2.503
Bookseller,Alvin Epstein,Beauty and the Beast,3.338
Gaston,Richard White,Beauty and the Beast,1.656
Fifi the Featherduster,Kimmy Robertson,Beauty and the Beast,4.92
Bimbette,Kath Soucie,Beauty and the Beast,9.964
Armoire,Jo Anne Worley,Beauty and the Beast,1.44
Lumière,Jerry Orbach,Beauty and the Beast,14.398
Monsieur D'Arque,Tony Jay,Beauty and the Beast,6.836
Sultan the Footstool,Frank Welker,Beauty and the Beast,17.456
Le Fou,Jesse Corti,Beauty and the Beast,4.105
Mrs. Potts,Angela Lansbury,Beauty and the Beast,8.06
Belle,Paige O'Hara,Beauty and the Beast,4.494
Cogsworth,David Ogden Stiers,Beauty and the Beast,8.746
Maurice,Rex Everhart,Beauty and the Beast,1.924
Beast,Robby Benson,Beauty and the Beast,13.27
Babette,Mary Kay Bergman,Beauty and the Beast,5.008
Chef Bouche,Brian Cummings,Beauty and the Beast,2.16
Chip Potts,Bradley Michael Pierce,Beauty and the Beast,3.839
Philippe the Horse,Hal Smith,Beauty and the Beast,8.37
Axe,Jeff Bennett,Beauty and the Beast: The Enchanted Christmas,8.547
Forte the Pipe Organ,Tim Curry,Beauty and the Beast: The Enchanted Christmas,16.803
Angelique,Bernadette Peters,Beauty and the Beast: The Enchanted Christmas,7.848
Fife the Piccolo,Paul Reubens,Beauty and the Beast: The Enchanted Christmas,7.437
The Enchantress,Kath Soucie,Beauty and the Beast: The Enchanted Christmas,9.964
Secretary Bird,Lennie Weinrib,Bedknobs and Broomsticks,4.705
King Leonidas,Lennie Weinrib,Bedknobs and Broomsticks,4.705
Bear,Dal McKennon,Bedknobs and Broomsticks,2.414
Codfish,Robert Holt,Bedknobs and Broomsticks,1.38
Webster,Jim Cummings,Belle's Magical World,10.483
Crane,Jeff Bennett,Belle's Magical World,8.547
Le Plufme,Rob Paulsen,Belle's Magical World,6.733
Witherspoon,None,Belle's Magical World,0.6
Chandeleria,April Winchell,Belle's Magical World,4.361
Butch the Bulldog,Frank Welker,Bone Trouble,17.456
Miranda Wright,Karla DeVito,Bonkers,1.834
Toots,Frank Welker,Bonkers,17.456
Bonkers D. Bobcat,Jim Cummings,Bonkers,10.483
Fall-Apart Rabbit,Frank Welker,Bonkers,17.456
Tanana,Joan Copeland,Brother Bear,1.943
Sitka,D. B. Sweeney,Brother Bear,11.266
Rutt and Tuke,Rick Moranis; Dave Thomas,Brother Bear,6.2425
Kenai,Joaquin Phoenix,Brother Bear,19.024
Koda,Jeremy Suarez,Brother Bear,5.091
Tug,Michael Clarke Duncan,Brother Bear,10.702
Denahi,Jason Raize,Brother Bear,3.176
Anda,Andrea Martin,Brother Bear 2,9.373
Kata,Catherine O'Hara,Brother Bear 2,12.864
Aunt Taqqiq,Kathy Najimy,Brother Bear 2,9.37
Aunt Siqiniq,Wendie Malick,Brother Bear 2,13.588
Atka,Jeff Bennett,Brother Bear 2,8.547
Nita,Mandy Moore,Brother Bear 2,10.875
Innoko,Wanda Sykes,Brother Bear 2,6.779
Hoonah,Tress MacNeille,Brother Bear 2,11.737
Zipper,Corey Burton,Chip 'n Dale Rescue Rangers,9.168
Monterey Jack,Jim Cummings,Chip 'n Dale Rescue Rangers,10.483
Fat Cat,Jim Cummings,Chip 'n Dale Rescue Rangers,10.483
Professor Norton Nimnul,Jim Cummings,Chip 'n Dale Rescue Rangers,10.483
Gadget Hackwrench,Tress MacNeille,Chip 'n Dale Rescue Rangers,11.737
The Grand Duke,Luis Van Rooten; Rob Paulsen,Cinderella,4.6675
Fairy Godmother,Verna Felton; Russi Taylor,Cinderella,4.4695
Major the Horse,None,Cinderella,0.6
"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald; Rob Paulsen,Cinderella,3.6665
Cinderella,Ilene Woods,Cinderella,6.59
Anastasia Tremaine,Lucille Bliss,Cinderella,3.821
Bruno the Dog,Jimmy MacDonald; Frank Welker,Cinderella,9.028
Drizella Tremaine,Rhoda Williams; Russi Taylor,Cinderella,5.4805
The Doorman,Don Barclay,Cinderella,2.894
Lucifer the Cat,June Foray,Cinderella,5.718
Prince Charming,William Phipps,Cinderella,3.741
Gus Lollygagger,Jimmy MacDonald; Corey Burton,Cinderella,4.884
The King,Luis Van Rooten,Cinderella,2.602
Footman,Larry Grey,Cinderella,0.98
Lady Tremaine,Eleanor Audley; Susanne Blakeslee,Cinderella,6.045
Baker,Rob Paulsen,Cinderella II: Dreams Come True,6.733
Prudence,Holland Taylor,Cinderella II: Dreams Come True,8.877
Pom-Pom,Frank Welker,Cinderella II: Dreams Come True,17.456
Derek Blunt,Peter Renaday,Darkwing Duck,3.533
