name,release_date,genre,MPAA_rating,revenue,director
Recess: School's Out,2001-02-16,Comedy,G,"$54,656,124 ",
D2: The Mighty Ducks,1994-03-25,Comedy,PG,"$94,226,333 ",Sam Weisman
Home on the Range,2004-04-02,Comedy,PG,"$67,910,166 ",Will Finn
Young Black Stallion,2003-12-25,Adventure,G,"$9,254,344 ",Simon Wincer
What's Love Got to Do With It,1993-06-09,Drama,R,"$79,618,610 ",Brian Gibson
Lady and the Tramp,1955-06-22,Drama,G,"$1,236,035,515 ",Hamilton Luske
Corky Romano,2001-10-12,Comedy,PG-13,"$35,705,805 ",Rob Pritts
The Waterboy,1998-11-06,Comedy,PG-13,"$288,691,833 ",Frank Coraci
Captain America: The Winter Soldier,2014-04-04,Action,PG-13,"$268,013,076 ",
Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,"$544,817,142 ",Gore Verbinski
Ladder 49,2004-10-01,Action,PG-13,"$101,161,045 ",Jay Russell
Coyote Ugly,2000-08-04,Drama,PG-13,"$95,070,168 ",
The Sixth Man,1997-03-28,Comedy,PG-13,"$27,117,599 ",Randall Miller
Dick Tracy,1990-06-15,Action,PG,"$207,231,621 ",Gayle Hollenbaugh
Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,"$116,965,668 ",Bill Duke
DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,"$36,107,823 ",
Blame it on the Bellboy,1992-03-06,Comedy,PG-13,"$5,872,667 ",Mark Herman
The Hunchback of Notre Dame,1996-06-21,Adventure,G,"$190,988,799 ",Gary Trousdale
Ernest Goes to Jail,1990-04-06,Comedy,PG,"$49,999,822 ",John R. Cherry III
Ant-Man,2015-07-17,Action,PG-13,"$180,202,163 ",Peyton Reed
The Shaggy Dog,2006-03-10,Comedy,PG,"$78,667,428 ",Brian Robbins
The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,"$32,198,655 ",Wes Anderson
Bridge to Terabithia,2007-02-16,Drama,PG,"$100,760,721 ",Gábor Csupó
Beauty and the Beast,1991-11-13,Musical,G,"$363,017,667 ",Gary Trousdale
Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,"$9,857,435 ",David Frankel
A Bug's Life,1998-11-20,Adventure,G,"$288,981,698 ",John Lasseter
3 Men and a Little Lady,1990-11-21,Comedy,PG,"$143,108,869 ",Emile Ardolino
The Puppet Masters,1994-10-21,Horror,R,"$17,727,017 ",Stuart Orme
Signs,2002-08-02,Thriller/Suspense,PG-13,"$330,754,439 ",M. Night Shyamalan
Dead Presidents,1995-10-04,Drama,R,"$46,741,467 ",Albert Hughes
"McFarland, USA",2015-02-20,Drama,PG,"$44,480,275 ",Niki Caro
George Of The Jungle,1997-07-16,Comedy,PG,"$193,326,632 ",Sam Weisman
Bound by Honor,1993-04-16,,R,"$9,156,084 ",
The Avengers,2012-05-04,Action,PG-13,"$660,081,224 ",
